Variable / Field Name,Form Name,Section Header,VisitID,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Type
fc_othrprntlvisit_21,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_20] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_22,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_21] = '1',,,,,,,Human Subject Data
fc_datprvisnum_22,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_21] = '1',,,,,,,Human Subject Data
fc_bpsys_22,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_21] = '1',,,,,,,Human Subject Data
fc_bpdias_22,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_21] = '1',,,,,,,Human Subject Data
fc_weight_22,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_21] = '1',,,,,,,Human Subject Data
fc_gestagew_22,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_21] = '1',,,,,,,Human Subject Data
fc_gestaged_22,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_21] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_22,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_21] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_23,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_22] = '1',,,,,,,Human Subject Data
fc_datprvisnum_23,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_22] = '1',,,,,,,Human Subject Data
fc_bpsys_23,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_22] = '1',,,,,,,Human Subject Data
fc_bpdias_23,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_22] = '1',,,,,,,Human Subject Data
fc_weight_23,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_22] = '1',,,,,,,Human Subject Data
fc_gestagew_23,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_22] = '1',,,,,,,Human Subject Data
fc_gestaged_23,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_22] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_23,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_22] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_24,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_23] = '1',,,,,,,Human Subject Data
fc_datprvisnum_24,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_23] = '1',,,,,,,Human Subject Data
fc_bpsys_24,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_23] = '1',,,,,,,Human Subject Data
fc_bpdias_24,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_23] = '1',,,,,,,Human Subject Data
fc_weight_24,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_23] = '1',,,,,,,Human Subject Data
fc_gestagew_24,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_23] = '1',,,,,,,Human Subject Data
fc_gestaged_24,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_23] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_24,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_23] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_25,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_24] = '1',,,,,,,Human Subject Data
fc_datprvisnum_25,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_24] = '1',,,,,,,Human Subject Data
fc_bpsys_25,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_24] = '1',,,,,,,Human Subject Data
fc_bpdias_25,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_24] = '1',,,,,,,Human Subject Data
fc_weight_25,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_24] = '1',,,,,,,Human Subject Data
fc_gestagew_25,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_24] = '1',,,,,,,Human Subject Data
fc_gestaged_25,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_24] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_25,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_24] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_26,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_25] = '1',,,,,,,Human Subject Data
fc_datprvisnum_26,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_25] = '1',,,,,,,Human Subject Data
fc_bpsys_26,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_25] = '1',,,,,,,Human Subject Data
fc_bpdias_26,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_25] = '1',,,,,,,Human Subject Data
fc_weight_26,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_25] = '1',,,,,,,Human Subject Data
fc_gestagew_26,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_25] = '1',,,,,,,Human Subject Data
fc_gestaged_26,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_25] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_26,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_25] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_27,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_26] = '1',,,,,,,Human Subject Data
fc_datprvisnum_27,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_26] = '1',,,,,,,Human Subject Data
fc_bpsys_27,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_26] = '1',,,,,,,Human Subject Data
fc_bpdias_27,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_26] = '1',,,,,,,Human Subject Data
fc_weight_27,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_26] = '1',,,,,,,Human Subject Data
fc_gestagew_27,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_26] = '1',,,,,,,Human Subject Data
fc_gestaged_27,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_26] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_27,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_26] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_28,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_27] = '1',,,,,,,Human Subject Data
fc_datprvisnum_28,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_27] = '1',,,,,,,Human Subject Data
fc_bpsys_28,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_27] = '1',,,,,,,Human Subject Data
fc_bpdias_28,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_27] = '1',,,,,,,Human Subject Data
fc_weight_28,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_27] = '1',,,,,,,Human Subject Data
fc_gestagew_28,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_27] = '1',,,,,,,Human Subject Data
fc_gestaged_28,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_27] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_28,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_27] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_29,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_28] = '1',,,,,,,Human Subject Data
fc_datprvisnum_29,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_28] = '1',,,,,,,Human Subject Data
fc_bpsys_29,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_28] = '1',,,,,,,Human Subject Data
fc_bpdias_29,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_28] = '1',,,,,,,Human Subject Data
fc_weight_29,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_28] = '1',,,,,,,Human Subject Data
fc_gestagew_29,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_28] = '1',,,,,,,Human Subject Data
fc_gestaged_29,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_28] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_29,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_28] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_30,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_29] = '1',,,,,,,Human Subject Data
fc_datprvisnum_30,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_29] = '1',,,,,,,Human Subject Data
fc_bpsys_30,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_29] = '1',,,,,,,Human Subject Data
fc_bpdias_30,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_29] = '1',,,,,,,Human Subject Data
fc_weight_30,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_29] = '1',,,,,,,Human Subject Data
fc_gestagew_30,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_29] = '1',,,,,,,Human Subject Data
fc_gestaged_30,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_29] = '1',,,,,,,Human Subject Data
fc_othrprntlvisit_30,edd_confirmation,ULTRASOUND SUMMARY REPORT,,radio,Other Prenatal Visit?,"1, Yes | 0, No",,,,,,[fc_othrprntlvisit_29] = '1',,,,,,,Human Subject Data
fc_prenatalvisitnum_31,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Prenatal Visit Number,,2 digits,integer,,,,[fc_othrprntlvisit_30] = '1',,,,,,,Human Subject Data
fc_datprvisnum_31,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_othrprntlvisit_30] = '1',,,,,,,Human Subject Data
fc_bpsys_31,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Systolic),,mmHg,integer,50,230,,[fc_othrprntlvisit_30] = '1',,,,,,,Human Subject Data
fc_bpdias_31,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Blood pressure (Diastolic):,,mmHg,integer,30,140,,[fc_othrprntlvisit_30] = '1',,,,,,,Human Subject Data
fc_weight_31,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Weight:,,Pounds,,,,,[fc_othrprntlvisit_30] = '1',,,,,,,Human Subject Data
fc_gestagew_31,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Weeks):,,Weeks,integer,0,43,,[fc_othrprntlvisit_30] = '1',,,,,,,Human Subject Data
fc_gestaged_31,edd_confirmation,ULTRASOUND SUMMARY REPORT,,text,Gestational Age (Days):,,Days,integer,0,6,,[fc_othrprntlvisit_30] = '1',,,,,,,Human Subject Data
fc_ultrasonum_01,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_01,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_01,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_01,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_01,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_01,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_02,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_02,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_02,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_02,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_02,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_02,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_03,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_03,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_03,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_03,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_03,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_03,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_04,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_04,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_04,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_04,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_04,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_04,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_05,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_05,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_05,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_05,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_05,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_05,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_06,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_06,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_06,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_06,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_06,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_06,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_07,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_07,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_07,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_07,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_07,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_07,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_08,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_08,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_08,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_08,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_08,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_08,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_09,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_09,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_09,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_09,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_09,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_09,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_10,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,,,,,,,,Human Subject Data
fc_date_10,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_edc_10,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,,,,,,,,Human Subject Data
fc_hfr_10,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,,,,,,,,Human Subject Data
fc_gestagesonow_10,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,,,,,,,,Human Subject Data
fc_gestagesonod_10,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,,,,,,,,Human Subject Data
fc_otherusnum_10,edd_confirmation,Current Scan (Ultrasound),,radio,Other Prenatal Visita?,"1, Yes | 0, No",,,,,,,,,,,,,Human Subject Data
fc_ultrasonum_11,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,[fc_otherusnum_10] = '1',,,,,,,Human Subject Data
fc_date_11,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_otherusnum_10] = '1',,,,,,,Human Subject Data
fc_edc_11,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,[fc_otherusnum_10] = '1',,,,,,,Human Subject Data
fc_hfr_11,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,[fc_otherusnum_10] = '1',,,,,,,Human Subject Data
fc_gestagesonow_11,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,[fc_otherusnum_10] = '1',,,,,,,Human Subject Data
fc_gestagesonod_11,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,[fc_otherusnum_10] = '1',,,,,,,Human Subject Data
fc_otherusnum_11,edd_confirmation,Current Scan (Ultrasound),,radio,Other Prenatal Visita?,"1, Yes | 0, No",,,,,,[fc_otherusnum_10] = '1',,,,,,,Human Subject Data
fc_ultrasonum_12,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,[fc_otherusnum_11] = '1',,,,,,,Human Subject Data
fc_date_12,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_otherusnum_11] = '1',,,,,,,Human Subject Data
fc_edc_12,edd_confirmation,Current Scan (Ultrasound),,text,EDD:,,MM-DD-YYYY,date_mdy,,,y,[fc_otherusnum_11] = '1',,,,,,,Human Subject Data
fc_hfr_12,edd_confirmation,Current Scan (Ultrasound),,text,Fetal Heart Rate (FHR):,,Beats per minute,integer,,,,[fc_otherusnum_11] = '1',,,,,,,Human Subject Data
fc_gestagesonow_12,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Weeks):,,Weeks,,,,,[fc_otherusnum_11] = '1',,,,,,,Human Subject Data
fc_gestagesonod_12,edd_confirmation,Current Scan (Ultrasound),,text,Gestational Age (Days):,,Days,,,,,[fc_otherusnum_11] = '1',,,,,,,Human Subject Data
fc_otherusnum_12,edd_confirmation,Current Scan (Ultrasound),,radio,Other Prenatal Visita?,"1, Yes | 0, No",,,,,,[fc_otherusnum_11] = '1',,,,,,,Human Subject Data
fc_ultrasonum_13,edd_confirmation,Current Scan (Ultrasound),,text,Ultrasound Number:,,2 digits,integer,,,,[fc_otherusnum_12] = '1',,,,,,,Human Subject Data
fc_date_13,edd_confirmation,Current Scan (Ultrasound),,text,Date:,,MM-DD-YYYY,date_mdy,,,y,[fc_otherusnum_12] = '1',,,,,,,Human Subject Data
